time (Julian Date),tsi_1au (W/m^2),instrument_accuracy_1au (W/m^2),instrument_precision_1au (W/m^2),solar_standard_deviation_1au (W/m^2),measurement_uncertainty_1au (W/m^2),tsi_true_earth (W/m^2),instrument_accuracy_true_earth (W/m^2),instrument_precision_true_earth (W/m^2),solar_standard_deviation_true_earth (W/m^2),measurement_uncertainty_true_earth (W/m^2),avg_measurement_date (Julian Date),std_dev_measurement_date (days)
2452696.0,1361.4831,0.4765,0.0068,0.03298,0.4777,1389.1931,0.4862,0.0068,0.03387,0.4874,2452696.409446,0.0029
2452697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2452697.0,0.0
2452698.0,1361.4506,0.4765,0.0068,0.0524,0.4794,1388.0843,0.4858,0.0068,0.09316,0.4947,2452698.006571,0.0769
2452699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2452699.0,0.0
2452700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2452700.0,0.0
2452701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2452701.0,0.0
2452702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2452702.0,0.0
2452703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2452703.0,0.0
2452704.0,1361.2987,0.4765,0.0068,0.03485,0.4777,1384.0937,0.4844,0.0068,0.05034,0.487,2452703.583106,0.0561
2452705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2452705.0,0.0
2452706.0,1361.3535,0.4765,0.0068,0.06114,0.4804,1382.4454,0.4839,0.0068,0.2967,0.5676,2452706.014501,0.4398
2452707.0,1361.3319,0.4765,0.0068,0.04716,0.4788,1381.9045,0.4837,0.0068,0.2676,0.5528,2452706.749925,0.3567
2452708.0,1361.3305,0.4765,0.0068,0.03605,0.4778,1381.0778,0.4834,0.0068,0.2968,0.5672,2452707.912856,0.4431
2452709.0,1361.3433,0.4765,0.0068,0.07885,0.483,1380.4106,0.4831,0.0068,0.3571,0.6008,2452708.865975,0.4368
2452710.0,1361.0724,0.4764,0.0068,0.08124,0.4833,1379.0457,0.4827,0.0068,0.2278,0.5337,2452710.382474,0.2165
2452711.0,1360.9889,0.4763,0.0068,0.08543,0.4839,1378.4872,0.4825,0.0068,0.2986,0.5674,2452711.036533,0.3061
2452712.0,1360.793,0.4763,0.0068,0.05828,0.4798,1377.7338,0.4822,0.0068,0.1714,0.5118,2452711.799065,0.1831
2452713.0,1360.549,0.4762,0.0068,0.08561,0.4838,1376.5246,0.4818,0.0068,0.2455,0.5407,2452713.109644,0.2337
2452714.0,1360.4722,0.4762,0.0068,0.04465,0.4783,1375.8056,0.4815,0.0068,0.2125,0.5263,2452713.975006,0.2877
2452715.0,1360.4572,0.4762,0.0068,0.04992,0.4788,1375.164,0.4813,0.0068,0.1592,0.5069,2452714.81396,0.2121
2452716.0,1360.6811,0.4762,0.0068,0.1024,0.4871,1374.4963,0.4811,0.0068,0.1312,0.4986,2452715.999023,0.2861
2452717.0,1360.9904,0.4763,0.0068,0.08827,0.4845,1374.001,0.4809,0.0068,0.1593,0.5066,2452717.057818,0.2988
2452718.0,1361.1532,0.4764,0.0068,0.04655,0.4787,1373.5964,0.4808,0.0068,0.2441,0.5392,2452717.797059,0.3223
2452719.0,1361.1906,0.4764,0.0068,0.05385,0.4795,1372.6536,0.4804,0.0068,0.238,0.5362,2452719.059602,0.2734
2452720.0,1361.1269,0.4764,0.0068,0.05005,0.479,1371.8548,0.4801,0.0068,0.2528,0.5426,2452719.996761,0.2926
2452721.0,1361.1175,0.4764,0.0068,0.04891,0.4789,1371.0468,0.4799,0.0068,0.2264,0.5306,2452721.008696,0.2913
2452722.0,1361.1872,0.4764,0.0068,0.04954,0.479,1370.3251,0.4796,0.0068,0.2086,0.523,2452722.006603,0.284
2452723.0,1361.2578,0.4764,0.0068,0.04921,0.479,1369.6092,0.4794,0.0068,0.2248,0.5295,2452722.994348,0.2849
2452724.0,1361.3355,0.4765,0.0068,0.05363,0.4795,1368.8663,0.4791,0.0068,0.2133,0.5244,2452724.022095,0.2773
2452725.0,1361.1822,0.4764,0.0068,0.1478,0.4988,1367.9124,0.4788,0.0068,0.4353,0.6471,2452725.022077,0.3649
2452726.0,1360.8216,0.4763,0.0068,0.07793,0.4826,1366.7841,0.4784,0.0068,0.2979,0.5635,2452725.980153,0.3005
2452727.0,1360.7904,0.4763,0.0068,0.05225,0.4791,1365.9204,0.4781,0.0068,0.2455,0.5374,2452727.02251,0.2863
2452728.0,1360.7531,0.4763,0.0068,0.05281,0.4792,1365.1122,0.4778,0.0068,0.2449,0.5369,2452727.990004,0.2807
2452729.0,1360.7819,0.4763,0.0068,0.04637,0.4785,1364.3444,0.4775,0.0068,0.2283,0.5293,2452728.993035,0.2918
2452730.0,1360.8523,0.4763,0.0068,0.059,0.4799,1363.6226,0.4773,0.0068,0.1975,0.5165,2452729.994559,0.2867
2452731.0,1360.9258,0.4763,0.0068,0.04607,0.4785,1363.1312,0.4771,0.0068,0.04382,0.4791,2452730.710966,0.035
2452732.0,1361.1447,0.4764,0.0068,0.04516,0.4785,1361.9524,0.4767,0.0068,0.0468,0.479,2452732.494501,0.0028
2452733.0,1361.163,0.4764,0.0068,0.0688,0.4813,1361.5362,0.4765,0.0068,0.2081,0.52,2452733.052133,0.3068
2452734.0,1361.2276,0.4764,0.0068,0.05032,0.4791,1360.8554,0.4763,0.0068,0.2141,0.5222,2452734.012181,0.2773
2452735.0,1361.2754,0.4764,0.0068,0.05166,0.4792,1360.1355,0.476,0.0068,0.2179,0.5236,2452735.005706,0.2859
2452736.0,1361.2509,0.4764,0.0068,0.05142,0.4792,1359.3377,0.4758,0.0068,0.2311,0.5289,2452736.011301,0.2872
2452737.0,1361.1809,0.4764,0.0068,0.06475,0.4808,1358.4955,0.4755,0.0068,0.2601,0.542,2452737.020683,0.2831
2452738.0,1361.0389,0.4764,0.0068,0.05415,0.4794,1357.5657,0.4751,0.0068,0.2128,0.5206,2452738.05508,0.2511
2452739.0,1360.9369,0.4763,0.0068,0.07058,0.4815,1356.7991,0.4749,0.0068,0.2659,0.5442,2452738.931217,0.2842
2452740.0,1360.8415,0.4763,0.0068,0.04876,0.4788,1355.883,0.4746,0.0068,0.2648,0.5434,2452740.016438,0.3273
2452741.0,1360.8955,0.4763,0.0068,0.06954,0.4814,1355.2,0.4743,0.0068,0.1796,0.5072,2452740.992971,0.2927
2452742.0,1360.9851,0.4763,0.0068,0.06237,0.4804,1354.5055,0.4741,0.0068,0.188,0.51,2452742.033605,0.2906
2452743.0,1361.1472,0.4764,0.0068,0.06224,0.4805,1353.9394,0.4739,0.0068,0.1795,0.5067,2452743.000304,0.2875
2452744.0,1361.2374,0.4764,0.0068,0.05421,0.4795,1353.2817,0.4736,0.0068,0.2048,0.516,2452743.993745,0.2868
2452745.0,1361.3067,0.4765,0.0068,0.0585,0.48,1352.6671,0.4734,0.0068,0.2444,0.5328,2452744.901745,0.3489
2452746.0,1361.2913,0.4765,0.0068,0.04901,0.479,1351.8256,0.4731,0.0068,0.2345,0.5281,2452745.998358,0.3009
2452747.0,1361.2481,0.4764,0.0068,0.04775,0.4788,1350.8944,0.4728,0.0068,0.2998,0.5598,2452747.176349,0.3778
2452748.0,1361.2678,0.4764,0.0068,0.04963,0.479,1350.3015,0.4726,0.0068,0.2146,0.5191,2452747.987989,0.286
2452749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2452749.0,0.0
2452750.0,1361.3671,0.4765,0.0068,0.04825,0.4789,1348.6721,0.472,0.0068,0.1172,0.4864,2452750.280049,0.1356
2452751.0,1361.3679,0.4765,0.0068,0.05872,0.4801,1348.0759,0.4718,0.0068,0.2439,0.5311,2452751.074948,0.3032
2452752.0,1361.338,0.4765,0.0068,0.06363,0.4807,1347.3191,0.4716,0.0068,0.2186,0.5198,2452752.046533,0.2463
2452753.0,1361.1995,0.4764,0.0068,0.05103,0.4791,1346.3902,0.4712,0.0068,0.1715,0.5015,2452753.110697,0.2254
2452754.0,1361.2487,0.4764,0.0068,0.05484,0.4796,1345.7923,0.471,0.0068,0.2632,0.5396,2452753.985744,0.3526
2452755.0,1361.1749,0.4764,0.0068,0.0562,0.4797,1344.9828,0.4707,0.0068,0.2459,0.5311,2452754.98998,0.2947
2452756.0,1361.134,0.4764,0.0068,0.05061,0.4791,1344.1991,0.4705,0.0068,0.2175,0.5183,2452756.013295,0.2956
2452757.0,1360.9364,0.4763,0.0068,0.08403,0.4837,1343.3014,0.4702,0.0068,0.2801,0.5473,2452756.991237,0.2921
2452758.0,1360.7768,0.4763,0.0068,0.06213,0.4803,1342.4222,0.4698,0.0068,0.2391,0.5272,2452758.007299,0.2849
2452759.0,1360.5986,0.4762,0.0068,0.09355,0.4853,1341.5218,0.4695,0.0068,0.2742,0.5438,2452759.040956,0.2738
2452760.0,1360.2727,0.4761,0.0068,0.08282,0.4832,1340.5405,0.4692,0.0068,0.2831,0.548,2452759.995323,0.3088
2452761.0,1360.0752,0.476,0.0068,0.06995,0.4811,1339.7359,0.4689,0.0068,0.2679,0.5401,2452760.889107,0.3192
2452762.0,1360.2041,0.4761,0.0068,0.08922,0.4844,1339.1014,0.4687,0.0068,0.1059,0.4805,2452762.020661,0.2475
2452763.0,1360.4168,0.4761,0.0068,0.06654,0.4808,1338.6836,0.4685,0.0068,0.1498,0.4919,2452762.967721,0.297
2452764.0,1360.5768,0.4762,0.0068,0.07479,0.482,1338.1864,0.4684,0.0068,0.142,0.4894,2452763.970302,0.2878
2452765.0,1360.773,0.4763,0.0068,0.09133,0.4849,1337.7096,0.4682,0.0068,0.1335,0.4869,2452765.012471,0.3102
2452766.0,1360.9899,0.4763,0.0068,0.04911,0.4789,1337.249,0.468,0.0068,0.1434,0.4895,2452766.077158,0.2527
2452767.0,1360.9879,0.4763,0.0068,0.06368,0.4806,1336.6638,0.4678,0.0068,0.2195,0.5168,2452767.013158,0.2866
2452768.0,1360.9259,0.4763,0.0068,0.05257,0.4792,1335.9633,0.4676,0.0068,0.1859,0.5032,2452768.054159,0.3117
2452769.0,1360.9976,0.4763,0.0068,0.0576,0.4798,1335.4656,0.4674,0.0068,0.1479,0.4903,2452768.991499,0.2895
2452770.0,1361.1177,0.4764,0.0068,0.05169,0.4792,1334.982,0.4672,0.0068,0.1593,0.4937,2452769.99661,0.2912
2452771.0,1361.1813,0.4764,0.0068,0.0513,0.4792,1334.412,0.467,0.0068,0.2082,0.5113,2452771.067045,0.3855
2452772.0,1361.2023,0.4764,0.0068,0.05124,0.4792,1333.8839,0.4669,0.0068,0.1814,0.5009,2452772.00541,0.2874
2452773.0,1361.1455,0.4764,0.0068,0.07619,0.4825,1333.2165,0.4666,0.0068,0.2036,0.5091,2452773.062479,0.2553
2452774.0,1361.1382,0.4764,0.0068,0.05467,0.4795,1332.6797,0.4664,0.0068,0.1428,0.4878,2452773.985996,0.2867
2452775.0,1361.2138,0.4764,0.0068,0.05571,0.4797,1332.1812,0.4663,0.0068,0.1528,0.4906,2452774.99196,0.2935
2452776.0,1361.3054,0.4765,0.0068,0.06595,0.481,1331.7023,0.4661,0.0068,0.1422,0.4873,2452775.999287,0.2923
2452777.0,1361.4431,0.4765,0.0068,0.05312,0.4795,1331.272,0.4659,0.0068,0.1492,0.4893,2452777.008424,0.2889
2452778.0,1361.5086,0.4765,0.0068,0.04856,0.479,1330.7727,0.4658,0.0068,0.1478,0.4887,2452778.023903,0.2884
2452779.0,1361.5184,0.4765,0.0068,0.04759,0.4789,1330.2761,0.4656,0.0068,0.1783,0.4986,2452778.945946,0.3129
2452780.0,1361.5752,0.4766,0.0068,0.06154,0.4805,1330.0213,0.4655,0.0068,0.06476,0.47,2452779.515283,0.009
2452781.0,1361.5846,0.4766,0.0068,0.0548,0.4797,1329.248,0.4652,0.0068,0.1272,0.4823,2452780.973335,0.2733
2452782.0,1361.7338,0.4766,0.0068,0.05104,0.4793,1328.7151,0.4651,0.0068,0.07306,0.4708,2452782.264657,0.1379
2452783.0,1361.7634,0.4766,0.0068,0.05299,0.4796,1328.3675,0.4649,0.0068,0.1605,0.4918,2452782.994939,0.2867
2452784.0,1361.7199,0.4766,0.0068,0.06064,0.4804,1327.8215,0.4647,0.0068,0.1802,0.4985,2452783.988577,0.2856
2452785.0,1361.5149,0.4765,0.0068,0.07642,0.4826,1327.1242,0.4645,0.0068,0.2096,0.5096,2452784.991583,0.2932
2452786.0,1361.2748,0.4764,0.0068,0.1164,0.4905,1326.3954,0.4642,0.0068,0.2453,0.525,2452786.014103,0.2912
2452787.0,1360.9808,0.4763,0.0068,0.05258,0.4792,1325.6083,0.464,0.0068,0.1468,0.4866,2452787.076625,0.2486
2452788.0,1360.8161,0.4763,0.0068,0.04811,0.4787,1325.0267,0.4638,0.0068,0.1458,0.4861,2452787.995749,0.2857
2452789.0,1360.99,0.4763,0.0068,0.08266,0.4835,1324.7443,0.4637,0.0068,0.0699,0.4689,2452789.009655,0.2766
2452790.0,1361.1817,0.4764,0.0068,0.06175,0.4804,1324.5103,0.4636,0.0068,0.1031,0.4749,2452789.98325,0.2904
2452791.0,1361.2921,0.4765,0.0068,0.05155,0.4792,1324.2508,0.4635,0.0068,0.08245,0.4708,2452790.857396,0.1695
2452792.0,1361.2822,0.4764,0.0068,0.0506,0.4791,1323.7781,0.4633,0.0068,0.1431,0.4849,2452792.000938,0.2914
2452793.0,1361.1841,0.4764,0.0068,0.05884,0.48,1323.2598,0.4631,0.0068,0.1429,0.4847,2452793.086227,0.2599
2452794.0,1361.0038,0.4764,0.0068,0.07932,0.4829,1322.728,0.463,0.0068,0.1606,0.49,2452794.036231,0.264
2452795.0,1360.9236,0.4763,0.0068,0.05184,0.4791,1322.2936,0.4628,0.0068,0.1262,0.4797,2452795.020861,0.2901
